Newport Quantitative Trading and Investment (https://newportquant.com),,,,,,
Last update,2022/03/22,,,,,
DateBeforeChange,DateAfterChange,Change,Ticker,Name,Sector,Exchange
20170228,20170324,-1,URBN,URBAN OUTFITTERS INC,Consumer Discretionary,NASDAQ
20170131,20170228,1,CBOE,CBOE HOLDINGS INC.,Financials,NASDAQ
20170131,20170228,1,INCY,INCYTE CORP,Health Care,NASDAQ
20170131,20170228,-1,PBI,PITNEY BOWES INC,Industrials,New York Stock Exchange Inc.
20170131,20170228,-1,SE,SPECTRA ENERGY CORP,Energy,New York Stock Exchange Inc.
20161230,20170131,1,IDXX,IDEXX LABORATORIES INC.,Health Care,NASDAQ
20161230,20170131,-1,STJ,ST JUDE MEDICAL INC,Health Care,New York Stock Exchange Inc.
20161130,20161230,1,EVHC,ENVISION HEALTHCARE CORP,Health Care,New York Stock Exchange Inc.
20161130,20161230,1,MAA,MID-AMERICA APARTMENT COMMUNITIES,Real Estate,New York Stock Exchange Inc.
20161130,20161230,1,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20161130,20161230,-1,LM,LEGG MASON INC,Financials,New York Stock Exchange Inc.
20161130,20161230,-1,OI,OWENS ILLINOIS INC,Materials,New York Stock Exchange Inc.
20161130,20161230,-1,UAC/C,UNDER ARMOUR INC CLASS C,Consumer Discretionary,New York Stock Exchange Inc.
20161031,20161130,1,ARNC,ARCONIC INC INC,Industrials,New York Stock Exchange Inc.
20161031,20161130,-1,AA,ALCOA INC,Materials,New York Stock Exchange Inc.
20160831,20160930,1,CHTR,CHARTER COMMUNICATIONS INC CLASS A,Consumer Discretionary,NASDAQ
20160831,20160930,1,COO,COOPER COS.,Health Care,New York Stock Exchange Inc.
20160831,20160930,1,COTY,COTY INC CLASS A,Consumer Staples,New York Stock Exchange Inc.
20160831,20160930,1,MTD,METTLER TOLEDO INC,Health Care,New York Stock Exchange Inc.
20160831,20160930,-1,DO,DIAMOND OFFSHORE DRILLING INC,Energy,New York Stock Exchange Inc.
20160831,20160930,-1,EMC,EMC CORP,Information Technology,New York Stock Exchange Inc.
20160831,20160930,-1,HOT,STARWOOD HOTELS & RESORTS WORLDWID,Consumer Discretionary,New York Stock Exchange Inc.
20160831,20160930,-1,TYC,TYCO INTERNATIONAL PLC,Industrials,New York Stock Exchange Inc.
20160630,20160729,1,FTV,FORTIVE CORP,Industrials,New York Stock Exchange Inc.
20160630,20160729,-1,CPGX,COLUMBIA PIPELINE GROUP INC,Energy,New York Stock Exchange Inc.
20160630,20160729,-1,GAS,AGL RESOURCES INC.,Utilities,New York Stock Exchange Inc.
20160630,20160729,-1,TE,TECO ENERGY INC,Utilities,New York Stock Exchange Inc.
20160531,20160630,1,ALB,ALBEMARLE CORP.,Materials,New York Stock Exchange Inc.
20160531,20160630,1,FBHS,FORTUNE BRANDS HOME & SECURITY INC,Industrials,New York Stock Exchange Inc.
20160531,20160630,1,LNT,ALLIANT ENERGY CORP,Utilities,New York Stock Exchange Inc.
20160531,20160630,1,TDG,TRANSDIGM GROUP INC,Industrials,New York Stock Exchange Inc.
20160531,20160630,-1,BXLT,BAXALTA INC,Health Care,New York Stock Exchange Inc.
20160531,20160630,-1,CVC,CABLEVISION SYSTEMS CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20160429,20160531,1,AJG,ARTHUR J GALLAGHER,Financials,New York Stock Exchange Inc.
20160429,20160531,1,ALK,ALASKA AIR GROUP INC,Industrials,New York Stock Exchange Inc.
20160429,20160531,1,AYI,ACUITY BRANDS INC.,Industrials,New York Stock Exchange Inc.
20160429,20160531,1,DLR,DIGITAL REALTY TRUST REIT INC TRUS,Financials,New York Stock Exchange Inc.
20160429,20160531,1,LKQ,LKQ CORP,Consumer Discretionary,NASDAQ
20160429,20160531,-1,ADT,ADT CORPORATION,Industrials,New York Stock Exchange Inc.
20160429,20160531,-1,ARG,AIRGAS INC,Materials,New York Stock Exchange Inc.
20160429,20160531,-1,CCE,COCA-COLA ENTERPRISES INC,Consumer Staples,New York Stock Exchange Inc.
20160429,20160531,-1,SNDK,SANDISK CORP,Information Technology,NASDAQ
20160429,20160531,-1,TWC,TIME WARNER CABLE INC,Consumer Discretionary,New York Stock Exchange Inc.
20160331,20160429,1,FL,FOOT LOCKER INC,Consumer Discretionary,New York Stock Exchange Inc.
20160331,20160429,1,GPN,GLOBAL PAYMENTS INC.,Information Technology,New York Stock Exchange Inc.
20160331,20160429,1,SPGI,S&P GLOBAL INC,Financials,New York Stock Exchange Inc.
20160331,20160429,1,UAC/C,UNDER ARMOUR INC CLASS C,Consumer Discretionary,New York Stock Exchange Inc.
20160331,20160429,1,ULTA,ULTA SALON COSMETICS & FRAGRANCE I,Consumer Discretionary,NASDAQ
20160331,20160429,-1,CAM,CAMERON INTERNATIONAL CORP,Energy,New York Stock Exchange Inc.
20160331,20160429,-1,GME,GAMESTOP CORP CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20160331,20160429,-1,MHFI,MCGRAW HILL FINANCIAL INC,Financials,New York Stock Exchange Inc.
20160331,20160429,-1,THC,TENET HEALTHCARE CORP.,Health Care,New York Stock Exchange Inc.
20160229,20160331,1,AWK,AMERICAN WATER WORKS INC,Utilities,New York Stock Exchange Inc.
20160229,20160331,1,CNC,CENTENE CORP.,Health Care,New York Stock Exchange Inc.
20160229,20160331,1,HOLX,HOLOGIC INC.,Health Care,NASDAQ
20160229,20160331,1,UDR,UDR INC.,Financials,New York Stock Exchange Inc.
20160229,20160331,-1,CNX,CONSOL ENERGY INC,Energy,New York Stock Exchange Inc.
20160229,20160331,-1,CRC,CALIFORNIA RESOURCES CORP,Energy,New York Stock Exchange Inc.
20160229,20160331,-1,ESV,ENSCO PLC CLASS A,Energy,New York Stock Exchange Inc.
20160229,20160331,-1,GMCR,KEURIG GREEN MOUNTAIN INC,Consumer Staples,NASDAQ
20160229,20160331,-1,POM,PEPCO HOLDINGS INC,Utilities,New York Stock Exchange Inc.
20160129,20160229,1,CRC,CALIFORNIA RESOURCES CORP,Energy,New York Stock Exchange Inc.
20160129,20160229,1,CXO,CONCHO RESOURCES INC,Energy,New York Stock Exchange Inc.
20160129,20160229,-1,BRCM,BROADCOM CORP CLASS A,Information Technology,NASDAQ
20160129,20160229,-1,PCL,PLUM CREEK TIMBER COMPANY REIT INC,Financials,New York Stock Exchange Inc.
20160129,20160229,-1,PCP,PRECISION CASTPARTS CORP,Industrials,New York Stock Exchange Inc.
20151231,20160129,1,CFG,CITIZENS FINANCIAL GROUP INC,Financials,New York Stock Exchange Inc.
20151231,20160129,1,EXR,EXTRA SPACE STORAGE INC.,Financials,New York Stock Exchange Inc.
20151231,20160129,1,FRT,FEDERAL REALTY INVESTMENT TRUST RE,Financials,New York Stock Exchange Inc.
20151231,20160129,1,WLTW,WILLIS TOWERS WATSON PLC,Financials,NASDAQ
20151231,20160129,-1,ACE,ACE LTD,Financials,New York Stock Exchange Inc.
20151231,20160129,-1,FOSL,FOSSIL GROUP INC,Consumer Discretionary,NASDAQ
20151130,20151231,1,CHD,CHURCH AND DWIGHT INC,Consumer Staples,New York Stock Exchange Inc.
20151130,20151231,-1,ALTR,ALTERA CORP,Information Technology,NASDAQ
20151130,20151231,-1,CMCSK,COMCAST SPECIAL CORP CLASS A,Consumer Discretionary,NASDAQ
20151130,20151231,-1,SYF-W,SYNCHRONY FINANCIAL - WHEN ISSUED,Financials,New York Stock Exchange Inc.
20151030,20151130,1,CSRA,CSRA INC,Information Technology,New York Stock Exchange Inc.
20151030,20151130,1,HPE,HEWLETT PACKARD ENTERPRISE,Information Technology,New York Stock Exchange Inc.
20151030,20151130,1,ILMN,ILLUMINA INC,Health Care,NASDAQ
20151030,20151130,1,SYF,SYNCHRONY FINANCIAL,Financials,New York Stock Exchange Inc.
20151030,20151130,1,SYF-W,SYNCHRONY FINANCIAL - WHEN ISSUED,Financials,New York Stock Exchange Inc.
20151030,20151130,-1,CSC,COMPUTER SCIENCES CORP,Information Technology,New York Stock Exchange Inc.
20151030,20151130,-1,GNW,GENWORTH FINANCIAL A INC,Financials,New York Stock Exchange Inc.
20151030,20151130,-1,HCBK,HUDSON CITY BANCORP INC,Financials,NASDAQ
20151030,20151130,-1,SIAL,SIGMA ALDRICH CORP,Materials,NASDAQ
20150930,20151030,1,VRSK,VERISK ANALYTICS INC,Industrials,NASDAQ
20150930,20151030,-1,JOY,JOY GLOBAL INC,Industrials,New York Stock Exchange Inc.
20150831,20150930,1,CMCSK,COMCAST SPECIAL CORP CLASS A,Consumer Discretionary,NASDAQ
20150831,20150930,1,FOX,TWENTY-FIRST CENTURY FOX INC CLASS,Consumer Discretionary,NASDAQ
20150831,20150930,1,NWS,NEWS CORP CLASS B,Consumer Discretionary,NASDAQ
20150831,20150930,1,UAL,UNITED CONTINENTAL HOLDINGS INC,Industrials,New York Stock Exchange Inc.
20150831,20150930,-1,HSP,HOSPIRA INC,Health Care,New York Stock Exchange Inc.
20150731,20150831,1,ATVI,ACTIVISION BLIZZARD INC,Information Technology,NASDAQ
20150731,20150831,-1,PLL,PALL CORP,Industrials,New York Stock Exchange Inc.
20150630,20150731,1,AAP,ADVANCE AUTO PARTS INC,Consumer Discretionary,New York Stock Exchange Inc.
20150630,20150731,1,BXLT,BAXALTA INC,Health Care,New York Stock Exchange Inc.
20150630,20150731,1,CPGX,COLUMBIA PIPELINE GROUP INC,Energy,New York Stock Exchange Inc.
20150630,20150731,1,KHC,KRAFT HEINZ,Consumer Staples,NASDAQ
20150630,20150731,1,PYPL,PAYPAL HOLDINGS INC,Information Technology,NASDAQ
20150630,20150731,1,SIG,SIGNET JEWELERS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20150630,20150731,1,WRK,WESTROCK,Materials,New York Stock Exchange Inc.
20150630,20150731,-1,ATI,ALLEGHENY TECHNOLOGIES INC,Materials,New York Stock Exchange Inc.
20150630,20150731,-1,BLD WI,TOPBUILD CORP WHEN ISSUED,Consumer Discretionary,New York Stock Exchange Inc.
20150630,20150731,-1,CC WI,CHEMOURS ORD WHEN ISSUED,Materials,New York Stock Exchange Inc.
20150630,20150731,-1,DTV,DIRECTV,Consumer Discretionary,NASDAQ
20150630,20150731,-1,FDO,FAMILY DOLLAR STORES INC,Consumer Discretionary,New York Stock Exchange Inc.
20150630,20150731,-1,KRFT,KRAFT FOODS GROUP INC,Consumer Staples,NASDAQ
20150630,20150731,-1,MWV,MEADWESTVACO CORP,Materials,New York Stock Exchange Inc.
20150630,20150731,-1,NE,NOBLE CORP PLC,Energy,New York Stock Exchange Inc.
20150630,20150731,-1,QEP,QEP RESOURCES INC,Energy,New York Stock Exchange Inc.
20150529,20150630,1,AGN,ALLERGAN ORD,Health Care,New York Stock Exchange Inc.
20150529,20150630,1,BLD WI,TOPBUILD CORP WHEN ISSUED,Consumer Discretionary,New York Stock Exchange Inc.
20150529,20150630,1,CC WI,CHEMOURS ORD WHEN ISSUED,Materials,New York Stock Exchange Inc.
20150529,20150630,1,JBHT,JB HUNT TRANSPORT SERVICES INC,Industrials,NASDAQ
20150529,20150630,1,QRVO,QORVO INC,Information Technology,NASDAQ
20150529,20150630,1,TGNA,TEGNA INC,Consumer Discretionary,New York Stock Exchange Inc.
20150529,20150630,1,ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20150529,20150630,-1,ACT,ACTAVIS PLC,Health Care,New York Stock Exchange Inc.
20150529,20150630,-1,GCI,GANNETT INC,Consumer Discretionary,New York Stock Exchange Inc.
20150529,20150630,-1,LO,LORILLARD INC,Consumer Staples,New York Stock Exchange Inc.
20150529,20150630,-1,TEG,INTEGRYS ENERGY GROUP INC.,Utilities,New York Stock Exchange Inc.
20150529,20150630,-1,ZMH,ZIMMER HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20150331,20150430,1,BF.B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20150331,20150430,1,O,REALTY INCOME REIT CORP,Financials,New York Stock Exchange Inc.
20150331,20150430,-1,BF/B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20150331,20150430,-1,WIN,WINDSTREAM HOLDINGS INC,Telecommunications,NASDAQ
20150227,20150331,1,AAL,AMERICAN AIRLINES GROUP INC,Industrials,NASDAQ
20150227,20150331,1,EQIX,EQUINIX REIT INC,Information Technology,NASDAQ
20150227,20150331,1,HBI,HANESBRANDS INC,Consumer Discretionary,New York Stock Exchange Inc.
20150227,20150331,1,HSIC,HENRY SCHEIN INC,Health Care,NASDAQ
20150227,20150331,1,SLG,SL GREEN REALTY REIT CORP,Financials,New York Stock Exchange Inc.
20150227,20150331,1,SWKS,SKYWORKS SOLUTIONS INC,Information Technology,NASDAQ
20150227,20150331,-1,AGN,ALLERGAN INC,Health Care,New York Stock Exchange Inc.
20150227,20150331,-1,AVP,AVON PRODUCTS INC,Consumer Staples,New York Stock Exchange Inc.
20150227,20150331,-1,CFN,CAREFUSION CORP,Health Care,New York Stock Exchange Inc.
20150227,20150331,-1,DNR,DENBURY RESOURCES INC,Energy,New York Stock Exchange Inc.
20150227,20150331,-1,NBR,NABORS INDUSTRIES LTD,Energy,New York Stock Exchange Inc.
20150227,20150331,-1,PETM,PETSMART INC,Consumer Discretionary,NASDAQ
20150130,20150227,1,ES,EVERSOURCE ENERGY,Utilities,New York Stock Exchange Inc.
20150130,20150227,-1,NU,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20141231,20150130,1,ENDP,ENDO INTERNATIONAL PLC,Health Care,NASDAQ
20141231,20150130,1,HCA,HCA HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20141231,20150130,-1,COV,COVIDIEN ORD,Health Care,New York Stock Exchange Inc.
20141231,20150130,-1,SWY,SAFEWAY INC,Consumer Staples,New York Stock Exchange Inc.
20141128,20141231,1,ANTM,ANTHEM INC,Health Care,New York Stock Exchange Inc.
20141128,20141231,1,RCL,ROYAL CARIBBEAN CRUISES LTD,Consumer Discretionary,New York Stock Exchange Inc.
20141128,20141231,1,WBA,WALGREEN BOOTS ALLIANCE ORD,Consumer Discretionary,NASDAQ
20141128,20141231,-1,BMS,BEMIS INC,Materials,New York Stock Exchange Inc.
20141128,20141231,-1,CRC,CALIFORNIA RESOURCES CORP,Energy,New York Stock Exchange Inc.
20141128,20141231,-1,WAG,WALGREEN,Consumer Staples,New York Stock Exchange Inc.
20141128,20141231,-1,WLP,WELLPOINT INC,Health Care,New York Stock Exchange Inc.
20141031,20141128,1,ACE,ACE LTD,Financials,New York Stock Exchange Inc.
20141031,20141128,1,ACT,ACTAVIS PLC,Health Care,New York Stock Exchange Inc.
20141031,20141128,1,BF/B,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20141031,20141128,1,CRC,CALIFORNIA RESOURCES CORP,Energy,New York Stock Exchange Inc.
20141031,20141128,1,GCI,GANNETT INC,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,1,LVLT,LEVEL COMMUNICATIONS INC,Telecommunications,New York Stock Exchange Inc.
20141031,20141128,1,NU,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20141031,20141128,1,UA,UNDER ARMOUR A INC,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,1,WLP,WELLPOINT INC,Health Care,New York Stock Exchange Inc.
20141031,20141128,1,YHOO,YAHOO! INC,Information Technology,NASDAQ
20141031,20141128,1,ZMH,ZIMMER HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20141031,20141128,-1,AABA,ALTABA INC,Information Technology,NASDAQ
20141031,20141128,-1,ANTM,WELLPOINT INC,Health Care,New York Stock Exchange Inc.
20141031,20141128,-1,BFB,BROWN FORMAN CORP CLASS B,Consumer Staples,New York Stock Exchange Inc.
20141031,20141128,-1,ES,NORTHEAST UTILITIES,Utilities,New York Stock Exchange Inc.
20141031,20141128,-1,JBL,JABIL INC,Information Technology,New York Stock Exchange Inc.
20141031,20141128,-1,TGNA,GANNETT CO INC,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,-1,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20141031,20141128,-1,ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,New York Stock Exchange Inc.
20140829,20140930,1,UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,New York Stock Exchange Inc.
20140829,20140930,1,URI,UNITED RENTALS INC,Industrials,New York Stock Exchange Inc.
20140829,20140930,-1,BTU,PEABODY ENERGY CORP,Energy,New York Stock Exchange Inc.
20140829,20140930,-1,GHC,GRAHAM HOLDINGS COMPANY CLASS B,Consumer Discretionary,New York Stock Exchange Inc.
20140731,20140829,1,DISCK,DISCOVERY COMMUNICATIONS INC SERIE,Consumer Discretionary,NASDAQ
20140731,20140829,1,MNK,MALLINCKRODT,Health Care,New York Stock Exchange Inc.
20140731,20140829,-1,RDC,ROWAN COMPANIES CLASS A PLC,Energy,New York Stock Exchange Inc.
20140630,20140731,1,AMG,AFFILIATED MANAGERS GROUP INC,Financials,New York Stock Exchange Inc.
20140630,20140731,1,MLM,MARTIN MARIETTA MATERIALS INC,Materials,New York Stock Exchange Inc.
20140630,20140731,-1,FRX,FOREST LABORATORIES INC,Health Care,New York Stock Exchange Inc.
20140630,20140731,-1,X,US STEEL CORP CORP,Materials,New York Stock Exchange Inc.
20140530,20140630,1,XEC,CIMAREX ENERGY,Energy,New York Stock Exchange Inc.
20140530,20140630,-1,IGT,INTERNATIONAL GAME TECHNOLOGY,Consumer Discretionary,New York Stock Exchange Inc.
20140530,20140630,-1,WPG,WASHINGTON PRIME GROUP INC,Financials,New York Stock Exchange Inc.
20140430,20140530,1,AVGO,AVAGO TECHNOLOGIES LTD,Information Technology,NASDAQ
20140430,20140530,1,GOOG,GOOGLE INC CLASS C,Information Technology,NASDAQ
20140430,20140530,1,INTC,INTEL CORPORATION CORP,Information Technology,NASDAQ
20140430,20140530,1,NAVI,NAVIENT CORP,Financials,NASDAQ
20140430,20140530,1,UAA,UNDER ARMOUR INC CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20140430,20140530,1,WPG,WASHINGTON PRIME GROUP INC,Financials,New York Stock Exchange Inc.
20140430,20140530,1,X,US STEEL CORP CORP,Materials,New York Stock Exchange Inc.
20140430,20140530,-1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20140430,20140530,-1,BEAM,BEAM INC,Consumer Staples,New York Stock Exchange Inc.
20140430,20140530,-1,GGQ7,GOOGLE INC CLASS C,Information Technology,Deutsche Boerse Xetra
20140430,20140530,-1,HAWKB,BLACKHAWK NETWORK HOLDINGS INC CLA,Financials,NASDAQ
20140430,20140530,-1,INCO,INTEL CORPORATION CORP,Information Technology,Euronext Amsterdam
20140430,20140530,-1,LSI,LSI CORP,Information Technology,NASDAQ
20140430,20140530,-1,SLM,SLM CORP,Financials,NASDAQ
20140430,20140530,-1,USX1,US STEEL CORP CORP,Materials,Deutsche Boerse Xetra
20140331,20140430,1,ESS,ESSEX PROPERTY TRUST REIT INC TRUS,Financials,New York Stock Exchange Inc.
20140331,20140430,1,GGQ7,GOOGLE INC CLASS C,Information Technology,Deutsche Boerse Xetra
20140331,20140430,1,HAWKB,BLACKHAWK NETWORK HOLDINGS INC CLA,Financials,NASDAQ
20140331,20140430,-1,CLF,CLIFFS NATURAL RESOURCES INC,Materials,New York Stock Exchange Inc.
20140228,20140331,1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20140228,20140331,1,AFL,AFLAC INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,AGN,ALLERGAN INC,-,New York Stock Exchange Inc.
20140228,20140331,1,APC,ANADARKO PETROLEUM CORP,Energy,New York Stock Exchange Inc.
20140228,20140331,1,AXP,AMERICAN EXPRESS,Financials,New York Stock Exchange Inc.
20140228,20140331,1,CME,CME GROUP INC CLASS A,Financials,NASDAQ
20140228,20140331,1,DFS,DISCOVER FINANCIAL SERVICES,Financials,New York Stock Exchange Inc.
20140228,20140331,1,ESRX,EXPRESS SCRIPTS HOLDING,Health Care,NASDAQ
20140228,20140331,1,GE,GENERAL ELECTRIC,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,GMCR,KEURIG GREEN MOUNTAIN INC,-,NASDAQ
20140228,20140331,1,HON,HONEYWELL INTERNATIONAL INC,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,L,LOEWS CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,LMT,LOCKHEED MARTIN CORP,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,-,NASDAQ
20140228,20140331,1,MET,METLIFE INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,MPC,MARATHON PETROLEUM CORP,Energy,New York Stock Exchange Inc.
20140228,20140331,1,MTB,M&T BANK CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,NOC,NORTHROP GRUMMAN CORP,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,QCOM,QUALCOMM INC,Information Technology,NASDAQ
20140228,20140331,1,RF,REGIONS FINANCIAL CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,RTN,RAYTHEON,Industrials,New York Stock Exchange Inc.
20140228,20140331,1,SCHW,CHARLES SCHWAB CORP,Financials,New York Stock Exchange Inc.
20140228,20140331,1,SLB,SCHLUMBERGER NV,Energy,New York Stock Exchange Inc.
20140228,20140331,1,THC,TENET HEALTHCARE CORP,Health Care,New York Stock Exchange Inc.
20140228,20140331,1,TRV,TRAVELERS COMPANIES INC,Financials,New York Stock Exchange Inc.
20140228,20140331,1,TWC,TIME WARNER CABLE INC,Consumer Discretionary,New York Stock Exchange Inc.
20140228,20140331,1,UNM,UNUM,Financials,New York Stock Exchange Inc.
20140228,20140331,1,V,VISA INC CLASS A,Information Technology,New York Stock Exchange Inc.
20140228,20140331,-1,4XS,EXPRESS SCRIPTS HOLDING,Health Care,Deutsche Boerse Xetra
20140228,20140331,-1,8686,AFLAC INC.,Financials,Tokyo Stock Exchange
20140228,20140331,-1,A60,ACTAVIS INC,Health Care,Boerse Berlin
20140228,20140331,-1,AAZ,ANADARKO PETROLEUM CORP,Energy,Boerse Berlin
20140228,20140331,-1,AEC1,AMERICAN EXPRESS,Financials,Boerse Berlin
20140228,20140331,-1,AG4,ALLERGAN,Health Care,Boerse Berlin
20140228,20140331,-1,ALD,HONEYWELL INTERNATIONAL INC,Industrials,Boerse Berlin
20140228,20140331,-1,DC7,DISCOVER FINANCIAL SERVICES,Financials,Boerse Berlin
20140228,20140331,-1,GEC,GENERAL ELECTRIC,Industrials,Deutsche Boerse Xetra
20140228,20140331,-1,KTF,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Boerse Stuttgart
20140228,20140331,-1,LOM,LOCKHEED MARTIN CORP,Industrials,Deutsche Boerse Xetra
20140228,20140331,-1,LTR,LOEWS CORP,Financials,Boerse Duesseldorf
20140228,20140331,-1,MPN,MARATHON PETROLEUM CORP,Energy,Boerse Stuttgart
20140228,20140331,-1,MTZ,M&T BANK CORP,Financials,Deutsche Boerse Xetra
20140228,20140331,-1,MWZ,METLIFE INC,Financials,Deutsche Boerse Xetra
20140228,20140331,-1,MX4A,CME GROUP INC CLASS A,Financials,Boerse Berlin
20140228,20140331,-1,NTH,NORTHROP GRUMMAN CORP,Industrials,Boerse Berlin
20140228,20140331,-1,PA9,TRAVELERS COMPANIES INC,Financials,Boerse Muenchen
20140228,20140331,-1,QCI,QUALCOMM INC,Information Technology,Deutsche Boerse Xetra
20140228,20140331,-1,RN7,REGIONS FINANCIAL CORP,Financials,Boerse Muenchen
20140228,20140331,-1,RTN1,RAYTHEON,Industrials,Boerse Stuttgart
20140228,20140331,-1,SLBA,SCHLUMBERGER LTD.,Energy,Euronext Amsterdam
20140228,20140331,-1,SWG,CHARLES SCHWAB CORP,Financials,Deutsche Boerse Xetra
20140228,20140331,-1,T3W1,TIME WARNER CABLE-A,Consumer Discretionary,Boerse Berlin
20140228,20140331,-1,THC1,TENET HEALTHCARE CORP,Health Care,Boerse Berlin
20140228,20140331,-1,UUM,UNUM,Financials,Deutsche Boerse Xetra
20140228,20140331,-1,VISA,VISA INC,Information Technology,Spot Regulated Market - Bvb
20140228,20140331,-1,WPX,WPX ENERGY INC,Energy,New York Stock Exchange Inc.
20140131,20140228,-1,LIFE,LIFE TECHNOLOGIES CORP,Health Care,NASDAQ
20131231,20140131,1,TSCO,TRACTOR SUPPLY,Consumer Discretionary,NASDAQ
20131129,20131231,1,ADS,ALLIANCE DATA SYSTEMS CORP,Information Technology,New York Stock Exchange Inc.
20131129,20131231,1,ALLE,ALLEGION PLC,Industrials,New York Stock Exchange Inc.
20131129,20131231,1,FB,FACEBOOK CLASS A INC,Information Technology,Bolsa Mexicana De Valores
20131129,20131231,1,GGP,GGP INC,-,New York Stock Exchange Inc.
20131129,20131231,1,MHK,MOHAWK INDUSTRIES INC,Consumer Discretionary,New York Stock Exchange Inc.
20131129,20131231,-1,ANF,ABERCROMBIE AND FITCH CLASS A,Consumer Discretionary,New York Stock Exchange Inc.
20131129,20131231,-1,JCP,JC PENNEY INC,Consumer Discretionary,New York Stock Exchange Inc.
20131129,20131231,-1,MOLX,MOLEX INC.,Information Technology,NASDAQ
20131129,20131231,-1,TER,TERADYNE INC,Information Technology,New York Stock Exchange Inc.
20131129,20131231,-1,UNS1,VIAVI SOLUTIONS INC,Information Technology,Boerse Stuttgart
20131031,20131129,1,KORS,MICHAEL KORS HOLDINGS LTD,Consumer Discretionary,New York Stock Exchange Inc.
20131031,20131129,-1,NYX,NYSE EURONEXT,Financials,New York Stock Exchange Inc.
20130930,20131031,1,A60,ACTAVIS INC,Health Care,Boerse Berlin
20130930,20131031,1,RIG,TRANSOCEAN LTD,Energy,New York Stock Exchange Inc.
20130930,20131031,-1,ACT,ACTAVIS INC.,Health Care,New York Stock Exchange Inc.
20130930,20131031,-1,DELL,DELL INC.,Information Technology,NASDAQ
20130830,20130930,1,AME,AMETEK INC,Industrials,New York Stock Exchange Inc.
20130830,20130930,1,DAL,DELTA AIR LINES INC,Industrials,New York Stock Exchange Inc.
20130830,20130930,1,VRTX,VERTEX PHARMACEUTICALS INC,Health Care,SIX Swiss Exchange
20130830,20130930,-1,AMD,ADVANCED MICRO DEVICES INC,Information Technology,NASDAQ
20130830,20130930,-1,BMC,BMC SOFTWARE INC.,Information Technology,NASDAQ
20130830,20130930,-1,LDOS,SAIC INC,Information Technology,New York Stock Exchange Inc.
20130628,20130731,1,FOXA,TWENTY FIRST CENTURY FOX INC CLASS,Consumer Discretionary,NASDAQ
20130628,20130731,1,NLSN,NIELSEN HOLDINGS NV,Industrials,New York Stock Exchange Inc.
20130628,20130731,1,NWSA,NEWS CORP CLASS A,Consumer Discretionary,NASDAQ
20130628,20130731,-1,APOL,APOLLO EDUCATION GROUP INC CLASS A,Consumer Discretionary,NASDAQ
20130628,20130731,-1,NCRA,NEWS CORP. CL A,Consumer Discretionary,NASDAQ
20130628,20130731,-1,S,SPRINT NEXTEL CORP,Telecommunication Services,New York Stock Exchange Inc.
20130531,20130628,1,GM,GENERAL MOTORS,Consumer Discretionary,New York Stock Exchange Inc.
20130531,20130628,1,ZTS,ZOETIS INC CLASS A,Health Care,New York Stock Exchange Inc.
20130531,20130628,-1,FHN,FIRST HORIZON NATIONAL CORP,Financials,New York Stock Exchange Inc.
20130531,20130628,-1,HNZ,H.J. HEINZ CO.,Consumer Staples,New York Stock Exchange Inc.
20130430,20130531,1,KSU,KANSAS CITY SOUTHERN,Industrials,New York Stock Exchange Inc.
